data0,data1,data2,data3,index0,index1,index2,index3
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.3043401873902576,0.5831570736144323,0.15809243349168456,0.12655517617988712,0.0,0.0,0.0,0.0
0.4541211314442014,0.2304212869454667,0.3129519126762197,0.2498640947140809,9.0,3.0,7.0,3.0
0.31704568483772255,0.6094501588673809,0.1934569527804961,0.16905886836669165,18.0,5.0,15.0,8.0
0.5259405025751493,0.38141265670758845,0.17496059781295167,0.1942092789279695,25.0,8.0,22.0,16.0
0.4765508503364894,0.21351162841664428,0.4615830330797667,0.1552606738151025,31.0,13.0,26.0,17.0
0.2900883441655968,0.37111024542353793,0.4296325133549266,0.11266562705361316,31.0,23.0,27.0,18.0
0.4403761199288673,0.19011598159114948,0.2806072155494389,0.2087315208844402,31.0,40.0,37.0,34.0
0.5914349346197297,0.5014454168940357,0.6107887063863254,0.12787145919008597,42.0,51.0,46.0,41.0
0.717168643748544,0.20581651347160027,0.341297158529166,0.11531985428644102,49.0,68.0,47.0,49.0
0.4566363171368161,0.5501815947167503,0.2166700988710258,0.22628207126284197,53.0,73.0,54.0,62.0
0.37848479064901697,0.4653670830572383,0.5563940399742432,0.15204619472221223,59.0,92.0,64.0,73.0
0.6996249149807989,0.19631990159712573,0.4418397652206273,0.1774185743588055,71.0,104.0,75.0,84.0
0.36049545203200295,0.23475652132374308,0.37300114545538304,0.11190552283429822,82.0,107.0,82.0,95.0
0.24654608130432615,0.30421446815664777,0.3265829190617804,0.1750385592920053,83.0,116.0,92.0,107.0
0.5312031409111052,0.24844437182175477,0.6999422658506605,0.21606198536702712,84.0,120.0,98.0,117.0
0.40257160052244784,0.21502302169276036,0.21786649471447792,0.22827584416647792,92.0,128.0,100.0,125.0
