data0,data1,data2,data3,index0,index1,index2,index3
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.7537396652183406,0.2860854414465758,0.5295720474030733,0.19363985981178283,0.0,0.0,0.0,0.0
0.32012929071409857,0.6970238733144988,0.31721539173098706,0.17383121335864535,13.0,8.0,4.0,12.0
0.5814465842620813,0.5261303187314708,0.6175074888638753,0.2689287413433832,20.0,12.0,6.0,27.0
0.7428347670813378,0.5764490843906018,0.36476097772976307,0.21466795384532558,31.0,12.0,14.0,30.0
0.7401323695112038,0.2524357463707285,0.32072017926807245,0.18271875530979112,36.0,25.0,22.0,47.0
0.45944192862548505,0.5137027315007757,0.20602732996514933,0.30958380609118263,45.0,26.0,29.0,57.0
0.31697486674675907,0.5978949852377483,0.44721801603496913,0.30430458307703356,46.0,30.0,30.0,61.0
0.6610073420123289,0.6097900941548599,0.5101079184281921,0.2472453546458848,49.0,38.0,39.0,64.0
