data0,data1,data2,data3,index0,index1,index2,index3
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.6600165506799326,0.6321216382973485,0.5684297182597993,0.23466846033412678,0.0,0.0,0.0,0.0
0.7022886530136938,0.2583321499478688,0.37183147535175504,0.29975365491206996,5.0,13.0,7.0,19.0
0.31861375171552725,0.3050196055966206,0.20229538733419297,0.2355317579537717,7.0,13.0,11.0,29.0
0.7113446660966385,0.2668856155564667,0.4149395901939123,0.32927550421082613,21.0,31.0,19.0,43.0
0.49028662139776874,0.5121449099272852,0.3782899261659141,0.2990076988067141,32.0,42.0,28.0,50.0
0.393741634712025,0.6311590565705082,0.5253038460264522,0.35008338444533615,45.0,52.0,37.0,51.0
0.7451001708427188,0.5262616871904591,0.4681769403408711,0.24395915500519105,51.0,65.0,41.0,55.0
0.3036558562779028,0.250831130518584,0.23415577026135903,0.2239519262840952,60.0,75.0,42.0,66.0
