data0,data1,data2,data3,index0,index1,index2,index3
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0
0.3026186237326701,0.6039158545674743,0.3080174970403963,0.1703183356612867,0.0,0.0,0.0,0.0
0.366446251029161,0.2688537547761699,0.45325672703479974,0.22866055724106968,11.0,0.0,0.0,6.0
0.39792039481504915,0.2958400387862437,0.2371258619691588,0.21913107126131395,14.0,10.0,2.0,16.0
0.3095793311644845,0.6295923089448807,0.3133420480060826,0.303314782751441,26.0,24.0,11.0,31.0
0.6983611856265964,0.4664182193440902,0.39648224424609074,0.2622383432256511,32.0,35.0,12.0,41.0
0.3257050097647852,0.6392126523966049,0.22476785334564284,0.2241520609119599,37.0,51.0,13.0,57.0
0.5333085121002025,0.28207255291169553,0.35117905425191326,0.2554068350389679,48.0,58.0,17.0,71.0
0.5636874641887879,0.46642246293325307,0.48943752235078325,0.24741806840131436,61.0,77.0,19.0,81.0
