data0,data1,data2,data3,index0,index1,index2,index3
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.3967460275405978,0.5595394088550201,0.4170673633846005,0.14802984691823445,0.0,0.0,0.0,0.0
0.719022744945323,0.41171086449981836,0.18778531023529108,0.28983809915676273,10.0,13.0,9.0,8.0
0.22684458443932368,0.5974553203941136,0.598088943398519,0.18593408026686623,23.0,31.0,16.0,11.0
0.5092552095633592,0.3207446256785558,0.23828432199967614,0.10067090881260363,27.0,48.0,26.0,22.0
0.5433936566237184,0.552576007664949,0.3583989212079785,0.20747475968269702,35.0,61.0,29.0,26.0
0.2878860790539445,0.2856628285999455,0.2787133363614161,0.12177069059788145,35.0,80.0,29.0,37.0
0.5058421883874266,0.218420820089635,0.19357162188812144,0.19604916504948794,41.0,81.0,29.0,56.0
0.6824101765711901,0.22127537426282518,0.32841823338463566,0.2564875002177272,50.0,88.0,34.0,57.0
0.3077818443769909,0.33562957355959394,0.19762161860056365,0.2230786763038822,59.0,89.0,40.0,70.0
0.48152704884722664,0.23041940944315734,0.7605164067093927,0.1662771809721167,62.0,98.0,42.0,84.0
0.6383983690529329,0.6223218535122028,0.2658327692121426,0.2566790784048733,74.0,107.0,52.0,92.0
0.7050242650912126,0.4857838652254368,0.44509006623791303,0.1856856390322229,81.0,119.0,60.0,99.0
0.3916852773270464,0.2351671907117235,0.4959133157325011,0.14128415116403617,90.0,126.0,64.0,113.0
0.601686926328462,0.20967723606372302,0.15123600701593953,0.1877339818885622,91.0,136.0,67.0,125.0
0.4160195259540783,0.593487308708588,0.5324259613656714,0.2083744186071367,103.0,136.0,75.0,130.0
0.393602383215596,0.19987062922300092,0.3188779166027875,0.22460825704089693,109.0,153.0,81.0,148.0
