data0,data1,data2,data3,index0,index1,index2,index3
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.3196132229973227,0.22820148284372746,0.39671691595307396,0.3458328260763065,0.0,0.0,0.0,0.0
0.6753137297281882,0.5914299234263591,0.18636447576400345,0.1823589416727471,6.0,3.0,3.0,2.0
0.547793349030129,0.44684263946293107,0.3459083807483437,0.19813626621195798,18.0,4.0,3.0,9.0
0.44250775882179455,0.19299873296406228,0.32958685102480284,0.14194771163149986,29.0,16.0,8.0,17.0
0.3362646826834508,0.1958426764337422,0.41781798860942737,0.13124917959331003,34.0,26.0,10.0,27.0
0.5616071668921397,0.19022232419285334,0.5079499841465258,0.13747934945653217,46.0,36.0,12.0,29.0
0.7451702465750702,0.21401322520230098,0.26505551476346134,0.2563692115194267,49.0,51.0,23.0,32.0
0.5390129366691934,0.6186304256774794,0.34108870796907914,0.19196577390665626,49.0,70.0,24.0,50.0
0.7572905384099003,0.22540430341886036,0.4431343862441343,0.2974126205198212,50.0,70.0,35.0,68.0
0.4600172661242653,0.6304858481636233,0.2655883872933106,0.11462479576326427,51.0,79.0,35.0,80.0
0.2388139498999231,0.21965368067850036,0.5800892185461215,0.22427087883513872,54.0,94.0,46.0,86.0
0.5779288675477418,0.19806360334785802,0.7318714193731165,0.1516607981356437,63.0,103.0,53.0,90.0
0.5673398870782144,0.33335412590407065,0.22219929760004875,0.1973188832832525,63.0,119.0,63.0,94.0
0.4047360381637354,0.21301632654762137,0.23186395682297503,0.13609577309950674,70.0,132.0,65.0,104.0
0.37854255569585743,0.5118020501481415,0.25808649222082986,0.2561552327126032,79.0,151.0,65.0,112.0
0.6874636362295422,0.45756254534799085,0.40025224889701677,0.1935233657506486,83.0,165.0,65.0,120.0
