data0,data1,data2,data3,index0,index1,index2,index3
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
0.23827938621114,0.2040320302888327,0.23847229129371028,0.10351643023986506,0.0,0.0,0.0,0.0
0.7414528470958549,0.2370439767274893,0.14230200626888084,0.3049251788095833,2.0,1.0,11.0,16.0
0.2341082185040898,0.19900577736799138,0.5172778758724595,0.16983508867604738,13.0,6.0,21.0,29.0
0.5790792196734688,0.22833917837352552,0.23236044863703462,0.26476040543435725,14.0,23.0,24.0,44.0
0.6344170547151868,0.209780250275577,0.21835305047223183,0.17128427079118141,20.0,38.0,33.0,44.0
0.32857753380990373,0.28987704258166486,0.3648755657585492,0.17844975026326956,34.0,43.0,39.0,62.0
0.618472575713819,0.2942254213154944,0.23494520548200876,0.1767748293861065,44.0,48.0,47.0,68.0
0.501113549992643,0.30354856112597023,0.5592221721649199,0.15952173483727053,51.0,49.0,52.0,83.0
0.3118001727966775,0.458561539556565,0.6399500939461957,0.19099601070499328,59.0,66.0,54.0,89.0
0.6508124231582127,0.6824684563053638,0.5710499088202091,0.16474823347906142,67.0,78.0,63.0,91.0
0.6359299927873817,0.3854473619033335,0.5709922511772926,0.11274049256994914,69.0,90.0,64.0,95.0
0.5256925214207651,0.2333009294892059,0.4754504698390336,0.25557085277199343,71.0,92.0,65.0,107.0
0.27613428963721576,0.562960163707306,0.5675142276844037,0.19958820669353888,78.0,99.0,71.0,113.0
0.6903407682498138,0.5027069629040857,0.19775605059144227,0.17135084334990647,79.0,100.0,73.0,117.0
0.2287504897178543,0.3152947981014387,0.6144393256156304,0.15504682008574322,79.0,102.0,74.0,130.0
0.7329376350055196,0.5941474154627371,0.1784337640733101,0.27213796440696175,81.0,112.0,76.0,142.0
